,주요 참여 활동(중복응답)B-H,,,,,,,방문 선택시 고려요인(중복응답)I-V,,,,,,,,,,,,,,방한횟수W-Z,,,,여행 유형AA-AC,,,전반적인 만족도(매우만족의 상대적인 정도),향후 3년 내 관광목적 재방문 의향(매우 그렇다의 상대적인 정도),가장 좋았던 활동AF-AW,,,,,,,,,,,,,,,,,
기간,쇼핑,식도락_관광,자연경관_감상,고궁_역사유적_방문,박물관_전시관.방문,테마파크,업무수행,휴양휴식,유흥_오락,뷰티관광,쇼핑.1,음식_미식탐방,자연풍경감상,역사_문화유적,패션_유행_.등_.세련된_문화,K.POP_한류스타_팬미팅,경제적인_여행비용,유흥_놀이시설,숙박시설_편리한.교통,이미용_서비스,기후_뚜렷한_사계절,X1회,X2회,X3회,X4회이상,개별여행,단체여행,Air.tel.Tour.항공호텔패키지여행.,카테고리,카테고리.1,식도락_관광.1,쇼핑.2,자연경관_감상.1,업무수행.1,고궁_역사유적_방문.1,공연_민속행사_축제참가_및_관람,전통문화체험,테마파크.1,유흥_오락.1,박물관_전시관_방문,연수_교육_연구,스포츠활동,휴양_휴식,시티투어_버스_이용,뷰티관광.1,의료관광,레포츠활동,시찰.산업시설등.
201602,608,412,186,159,69,81,94,66,117,43,552,371,291,155,217,69,116,72,33,17,71,352,69,32,126,513,230,53,높음,높음,132,249,57,45,51,31,24,22,32,17,11,26,16,8,7,2,10,3
201603,727,471,247,249,110,101,134,77,140,34,667,404,350,253,266,96,87,79,31,31,108,404,92,61,170,648,237,93,버텅,보통,166,288,88,70,78,43,21,36,35,24,8,6,13,10,10,6,7,4
201604,753,516,317,257,117,90,124,107,163,42,675,411,438,246,253,63,135,95,31,23,95,492,97,43,140,673,307,53,보통,보통,175,312,119,44,72,30,19,40,49,34,7,3,33,13,8,4,6,5
201605,789,533,271,317,107,112,137,61,142,18,733,487,418,243,294,76,98,87,28,11,64,471,82,48,130,648,329,54,높음,보통,207,316,93,66,90,26,16,40,33,21,18,2,6,13,2,5,7,6
201606,813,519,367,294,134,92,143,64,130,23,766,509,559,363,203,85,77,75,31,10,62,484,81,49,116,720,281,79,높음,높음,161,324,171,60,86,37,14,27,36,36,22,5,16,13,4,5,19,5
201607,945,658,330,234,116,188,104,119,233,17,726,573,526,260,351,117,95,125,25,24,57,568,112,49,148,819,291,73,낮음,낮음,224,384,147,33,91,41,28,44,38,31,18,5,22,13,7,2,9,0
201608,856,544,338,299,172,166,87,77,164,30,749,456,547,336,285,145,96,98,22,17,60,604,88,44,140,737,301,117,보통,낮음,175,276,136,40,106,83,35,54,43,39,27,2,21,14,13,2,10,5
201609,808,553,366,273,93,87,117,122,146,28,708,425,475,287,229,54,111,78,21,10,68,457,114,59,169,767,188,92,낮음,낮음,190,319,167,42,76,37,18,23,29,27,2,3,23,7,5,6,14,2
201610,818,602,313,300,105,100,130,96,159,45,757,503,520,309,292,68,95,79,33,28,115,510,105,56,174,796,211,95,보통,높음,169,350,131,47,117,40,26,30,24,25,6,7,15,11,10,6,20,2
201611,648,476,272,203,87,94,115,86,128,44,611,419,387,230,220,68,90,75,29,27,70,341,105,60,144,662,163,81,낮음,보통,147,285,114,52,70,34,13,20,23,22,15,6,16,17,10,1,3,5
