만족도
보통
높음
보통
낮음
보통
낮음
높음
낮음
높음
보통
보통
높음
보통
낮음
보통
낮음
낮음
보통
높음
높음
보통
보통
높음
보통
보통
높음
보통
보통
높음
높음
낮음
보통
낮음
보통
낮음
보통
보통
낮음
낮음
낮음
보통
높음
보통
높음
보통
높음
보통
보통
높음
보통
높음
보통
낮음
높음
낮음
보통
보통
보통
보통
낮음
