"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"통계분류(1)",통계분류(2),사례수,음식/미식탐방,쇼핑,친구 친지 방문,자연풍경감상,K-POP/한류스타 팬미팅 등을 경험하고 싶어서,역사/문화유적,휴가 시간,패션/유행  등  세련된  문화,자국과의 이동거리,유흥/놀이시설,경제적인 여행비용,이미용 서비스,템플스테이 태권도 등 한국전통 문화 체험,기후/뚜렷한 사계절,숙박시설/편리한 교통,레저 및 스포츠 활동,기타,가까운 거리,여행 가능한 여가시간,잘 갖춰진 휴양시설,안전/치안,치료(병의원방문),사례수,음식/미식탐방,쇼핑,친구 친지 방문,자연풍경감상,K-POP/한류스타 팬미팅 등을 경험하고 싶어서,역사/문화유적,휴가 시간,패션/유행  등  세련된  문화,자국과의 이동거리,유흥/놀이시설,경제적인 여행비용,이미용 서비스,템플스테이 태권도 등 한국전통 문화 체험,기후/뚜렷한 사계절,숙박시설/편리한 교통,레저 및 스포츠 활동,기타,가까운 거리,여행 가능한 여가시간,잘 갖춰진 휴양시설,안전/치안,치료(병의원방문),사례수,음식/미식탐방,쇼핑,친구 친지 방문,자연풍경감상,K-POP/한류스타 팬미팅 등을 경험하고 싶어서,역사/문화유적,휴가 시간,패션/유행  등  세련된  문화,자국과의 이동거리,유흥/놀이시설,경제적인 여행비용,이미용 서비스,템플스테이 태권도 등 한국전통 문화 체험,기후/뚜렷한 사계절,숙박시설/편리한 교통,레저 및 스포츠 활동,기타,가까운 거리,여행 가능한 여가시간,잘 갖춰진 휴양시설,안전/치안,치료(병의원방문),사례수,음식/미식탐방,쇼핑,친구 친지 방문,자연풍경감상,K-POP/한류스타 팬미팅 등을 경험하고 싶어서,역사/문화유적,휴가 시간,패션/유행  등  세련된  문화,자국과의 이동거리,유흥/놀이시설,경제적인 여행비용,이미용 서비스,템플스테이 태권도 등 한국전통 문화 체험,기후/뚜렷한 사계절,숙박시설/편리한 교통,레저 및 스포츠 활동,기타,모름/무응답,가까운 거리,여행 가능한 여가시간,잘 갖춰진 휴양시설,안전/치안,치료(병의원방문),음식/미식탐방,쇼핑,친구 친지 방문,자연풍경감상,K-POP/한류스타 팬미팅 등을 경험하고 싶어서,역사/문화유적,휴가 시간,패션/유행  등  세련된  문화,자국과의 이동거리,유흥/놀이시설,경제적인 여행비용,이미용 서비스,템플스테이 태권도 등 한국전통 문화 체험,기후/뚜렷한 사계절,숙박시설/편리한 교통,레저 및 스포츠 활동,기타,계
"월별",8월,877,6.7,27.7,0,36.9,2.3,5.1,0,8,0,1.6,4,0.5,0,0,0.4,0,0.7,2.2,1.5,1.1,0.8,0.4,643,7.8,23.4,0,24,7.9,12.1,0,7.5,0,2.3,1.3,0.4,0,0.7,0.6,0,0.7,2.6,4.9,1.5,1.1,1.3,875,7,24.3,0,26.8,7.3,7.6,0,9.6,0,2.4,1.5,0.2,0,0.3,0.3,0,1.3,4.9,3.4,1.7,1.2,0.4,697,9.9,27.3,0,18.4,6.6,9.5,0,6.1,0,3.1,2.8,0,0,0.7,0.3,0,1.2,0.5,4.8,3.5,0.8,2.5,1.9,31.7,22,12.3,8,9.2,3.8,3.5,1.5,1.9,1.5,0.8,1,1,0,0.3,0.4,0.9,100
"월별",9월,732,3.4,43.3,0,23.1,3.5,5.9,0,8.2,0,2.1,1.7,0.1,0,0.8,0.1,0,0.9,1.3,2.8,1.1,0.7,0.8,776,8.2,26,0,24.6,4.9,10.3,0,9.1,0,2.4,1.8,0.2,0,0.2,0,0,0.8,3.9,3.6,2,1.1,0.8,799,8.1,33.1,0,28,2.4,6.1,0,5.4,0,1.7,2,0.4,0,1.1,0.6,0,0.5,4.4,1.9,2.7,0.9,0.6,664,10.2,29,0,22.6,6.5,7.6,0,7.2,0,1.8,1.9,0.3,0,0.9,0.4,0,1.7,0,3.8,3.5,0.5,1.1,1.3,30.8,24,18.8,7.3,3.1,4.1,2.6,2,1.3,1.6,0.7,0.8,0.7,0.3,0.4,0.2,1.2,100
"월별",10월,790,4.7,35.2,0,32.2,1.9,8.2,0,3.8,0,1.1,1.3,1.5,0,1.4,0.1,0,1.7,0.5,2.3,2.7,1,0.6,874,5.6,27.4,0,26.6,6.1,9.6,0,8,0,1.9,2.2,0.2,0,2.4,0.2,0,1.5,1.1,2.7,2.8,1.2,0.5,846,6.2,29.3,0,28.8,3.7,8.7,0,7.2,0,1.7,2.6,0.7,0,1.3,0.5,0,1.2,3.2,1.6,2.3,0.6,0.1,739,10.3,23.5,0,24.2,4.4,8.3,0,9.5,0,1.8,2.8,0.7,0,3,1,0,1,0.3,2.6,3.3,1,1.1,1.2,33.1,23.1,14,12.9,3,3.7,1.7,2.4,1.4,0.8,0.9,0.3,0.6,0.8,0.1,0.1,1,100
"월별",11월,646,5.9,28,0,30.4,2.5,10.4,0,4.6,0,1.2,3.1,0.9,0,2,0.4,0,0.7,1.1,3.3,2.6,0.7,2.3,729,5.8,23,0,29.3,3.7,9.8,0,9.8,0,2.4,2.4,1.1,0,1.7,0.7,0,0.9,1.9,4.5,0.9,1.2,0.8,650,7.2,31.9,0,23.2,3.8,8.6,0,7.4,0,1,2.3,0.5,0,1.7,0.4,0,1.3,1.9,4.8,2.6,1.2,0.2,723,10.6,26.7,0,18.5,9,7.3,0,7.6,0,1.6,4.7,0.8,0,2.6,0.7,0,0.9,0,2,3.7,1.1,1.3,0.9,28.9,26,15.4,11.1,3.9,4.7,2.7,1.6,1.2,0.9,0.4,0.6,0.5,0.8,0.5,0.3,0.4,100
"월별",12월,693,6,32.6,0,22.1,3.1,7.7,0,7.2,0,3,2,0,0,3.8,0.6,0,0.7,1.1,3.3,5.2,0.7,0.9,769,8.3,27.4,0,20.6,3.4,8.2,0,10.8,0,2.4,1.9,0.6,0,4.3,0.5,0,1.3,2.2,3.3,3.1,1.5,0.2,678,6.7,28.7,0,23.7,3.7,10.2,0,9.1,0,1,2.8,0,0,2.8,0,0,2.3,1.9,2.5,2.9,1.8,0.1,788,11.1,23.1,0,17.7,7.5,6,0,9.4,0,2.3,3.2,0.6,0,6.3,1.1,0,1.1,0,2.9,2.9,1.1,2.6,1.1,30.9,23,12.3,12.6,4.3,4,3.6,1.8,1.2,0.7,0.5,1.1,0.5,1.6,0.6,0.1,1.3,100
"거주국",일본,1481,12,32.3,0,13.3,9.1,14.7,0,1.8,0,4.3,1.9,1.6,0,1.2,0.7,0,1.6,1.6,3.3,0.2,0.3,0.1,1274,12.1,24.7,0,10.3,13,19.3,0,1,0,4.8,1.2,1.3,0,2.4,0.2,0,1.5,1.7,4.1,1,1,0.4,1220,12.1,24.1,0,13.2,14.5,11.9,0,3.5,0,2.5,4.1,0.5,0,1.4,0.7,0,1.6,3.6,5.1,0.1,1.2,0.2,1856,18.1,27,0,10.2,12.7,7.8,0,6,0,3.8,4.4,1,0,0.3,0.4,0,1.8,0.4,2.4,1.8,0.2,0.8,0.9,42.4,20.6,10.4,3.7,8.8,2.7,0.8,0.9,2,2.2,1.5,0.5,0.3,0.1,0.7,0.4,1.9,100
"거주국",중국,4769,3.8,36,0,38,1.5,3.4,0,7.4,0,0.8,2.1,0.4,0,0.6,0,0,0.2,1.2,1.4,2.4,0.4,0.4,5060,4.7,34.3,0,31,2.3,5.1,0,10,0,1.6,1.8,0.3,0,1,0.3,0,0.4,1.8,2.2,2.6,0.7,0.2,5125,5.3,33.7,0,29.5,2,4.5,0,9.9,0,1.4,1.4,0.3,0,0.7,0.2,0,1.2,3.3,1.5,3.8,1.2,0.2,3137,7.4,40.6,0,21.4,2.4,2.3,0,8.6,0,1.6,1.9,0.3,0,0.7,0.5,0,0.4,0.3,5,2.7,1.7,1.4,0.9,30,33.4,14.8,8.4,2.1,1.9,1,2.3,2,0.5,0.3,0.8,0.1,0.3,0.3,0.2,1.5,100
"거주국",홍콩,433,9.8,40.5,0,16.8,1.8,5.4,0,5.2,0,4.1,2.4,0.6,0,2.4,1.2,0,0.2,1.3,3.8,0.9,3,0.5,487,10.3,32.8,0,23.3,3.1,4.9,0,8,0,3,3.6,0.3,0,1.5,0.6,0,0.6,0.6,3.9,0.6,2.8,0.2,444,15.1,32.9,0,22.2,2.6,3.4,0,7,0,2.1,2.8,0.3,0,2.9,0.3,0,0.8,0.8,2.7,0.6,3.4,0,614,15.9,27.8,0,21.5,4.7,4.4,0,7.2,0,1.9,3.3,0.6,0,2.8,0.6,0,0.3,0.2,1.6,3.7,0.6,2.9,0,37.8,24.5,4.3,15.1,3.1,2.2,3.3,2.2,1.3,1.3,1.3,0.3,0.6,0.6,1,0.7,0.4,100
"거주국",싱가포르,121,4.5,40.5,0,23.5,3.3,6,0,2.1,0,0.4,1.4,0.4,0,5.7,1.1,0,0.6,0,8.4,0.3,1.6,0.2,101,8.2,31,0,17.5,3.9,6.7,0,5,0,2,2.9,0,0,9.4,2.1,0,1.4,1.1,4.9,0.4,2.9,0.6,117,8.3,40.8,0,16.5,4,8.2,0,1.7,0,0.7,1.3,0.4,0,7.6,0.3,0,1.1,0.4,5.8,0.4,2.4,0.1,175,13.4,34.7,0,20,4.2,6.1,0,3.5,0,0.8,0.8,0,0,8.5,0.7,0,0.2,0,0.3,5.3,0,1.5,0,21.5,30.3,5.4,15.9,5.6,3.4,8.4,0.7,0.5,0.4,0.9,0.3,0.9,3.8,0.7,0.9,0.5,100
"거주국",대만,538,5.9,33.7,0,28.4,2.9,5.5,0,12.2,0,1.9,2.8,0,0,0.2,0.8,0,0.4,1.4,1.5,1.6,0.7,0,479,8.1,27,0,27,3.4,7.7,0,11,0,2.2,5.1,0.1,0,1.5,0.1,0,0.3,1.7,2.6,1.3,0.7,0.1,575,9.3,23.9,0,24.4,1.8,10.6,0,13.1,0,2.2,4.3,0.3,0,2.1,0.4,0,1.1,1.7,1.6,1.7,1.4,0,873,11.7,24.2,0,21.4,5,7.4,0,10.7,0,2,5,0.4,0,3,0.9,0,0.9,0,2.2,2.5,0.8,1.7,0.4,38.1,19.2,4.5,13.9,4.2,3.7,2.8,3,2.4,1.5,2.4,0.6,0.6,1.3,1,0.7,0.3,100
