"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"통계분류(1)",통계분류(2),사례수,음식/미식탐방,쇼핑,친구 친지 방문,자연풍경감상,K-POP/한류스타 팬미팅 등을 경험하고 싶어서,역사/문화유적,휴가 시간,패션/유행  등  세련된  문화,자국과의 이동거리,유흥/놀이시설,경제적인 여행비용,이미용 서비스,템플스테이 태권도 등 한국전통 문화 체험,기후/뚜렷한 사계절,숙박시설/편리한 교통,레저 및 스포츠 활동,기타,가까운 거리,여행 가능한 여가시간,잘 갖춰진 휴양시설,안전/치안,치료(병의원방문),사례수,음식/미식탐방,쇼핑,친구 친지 방문,자연풍경감상,K-POP/한류스타 팬미팅 등을 경험하고 싶어서,역사/문화유적,휴가 시간,패션/유행  등  세련된  문화,자국과의 이동거리,유흥/놀이시설,경제적인 여행비용,이미용 서비스,템플스테이 태권도 등 한국전통 문화 체험,기후/뚜렷한 사계절,숙박시설/편리한 교통,레저 및 스포츠 활동,기타,가까운 거리,여행 가능한 여가시간,잘 갖춰진 휴양시설,안전/치안,치료(병의원방문),사례수,음식/미식탐방,쇼핑,친구 친지 방문,자연풍경감상,K-POP/한류스타 팬미팅 등을 경험하고 싶어서,역사/문화유적,휴가 시간,패션/유행  등  세련된  문화,자국과의 이동거리,유흥/놀이시설,경제적인 여행비용,이미용 서비스,템플스테이 태권도 등 한국전통 문화 체험,기후/뚜렷한 사계절,숙박시설/편리한 교통,레저 및 스포츠 활동,기타,가까운 거리,여행 가능한 여가시간,잘 갖춰진 휴양시설,안전/치안,치료(병의원방문),사례수,음식/미식탐방,쇼핑,친구 친지 방문,자연풍경감상,K-POP/한류스타 팬미팅 등을 경험하고 싶어서,역사/문화유적,휴가 시간,패션/유행  등  세련된  문화,자국과의 이동거리,유흥/놀이시설,경제적인 여행비용,이미용 서비스,템플스테이 태권도 등 한국전통 문화 체험,기후/뚜렷한 사계절,숙박시설/편리한 교통,레저 및 스포츠 활동,기타,모름/무응답,가까운 거리,여행 가능한 여가시간,잘 갖춰진 휴양시설,안전/치안,치료(병의원방문),음식/미식탐방,쇼핑,친구 친지 방문,자연풍경감상,K-POP/한류스타 팬미팅 등을 경험하고 싶어서,역사/문화유적,휴가 시간,패션/유행  등  세련된  문화,자국과의 이동거리,유흥/놀이시설,경제적인 여행비용,이미용 서비스,템플스테이 태권도 등 한국전통 문화 체험,기후/뚜렷한 사계절,숙박시설/편리한 교통,레저 및 스포츠 활동,기타,계
"거주국",태국,356,1,40.5,0,29.1,2.3,5.1,0,3.2,0,0.7,3.6,0.6,0,3.8,0.3,0,0.4,0,0.8,7.7,0.9,0.1,303,4.2,23.2,0,34.1,3.4,5.7,0,3.6,0,1.1,3.2,0.5,0,4.7,0.6,0,0.5,0.2,1.3,12,1.2,0.4,279,4.9,27.3,0,27.8,2,6.4,0,5.4,0,1.5,4.8,0.3,0,3,1.1,0,0.2,0.1,0.3,12.5,1.8,0.5,457,7.9,24.8,0,27.4,9.3,3.2,0,6.9,0,1.5,3.3,1,0,7.7,0.4,0,0,0.2,0.1,1.4,1.8,2.8,0.4,22.3,28.9,9.2,14.1,4.6,4.2,3.3,1.9,1,1.5,1,1.2,1.6,2.4,0.8,0.6,1.4,100
"거주국",말레이시아,168,3.2,20,0,35.3,4.7,8.8,0,3.5,0,2.3,1,0.4,0,9.8,1,0,0.1,0.3,5.6,1.6,2.2,0,190,4.8,17,0,36.3,6.1,10.1,0,3,0,1.2,1.4,0,0,9.9,1.2,0,0.6,0,5.3,1.2,1.7,0,201,3.7,22,0,34.1,3.7,11.9,0,4.3,0,0.9,2.9,0.3,0,7.7,0,0,0.2,0.4,5.8,0.2,2,0,271,6.6,15.9,0,33.5,4.4,9.3,0,6.5,0,1.4,2.8,0.6,0,10.9,0.7,0,0,0,0.3,3.8,0.4,2.5,0.4,21.7,18.1,5.2,25.3,4.9,6,9.2,2.3,0.4,1.1,1.4,0.1,1.7,1.9,0.2,0.2,0.4,100
"거주국",호주,38,6.4,17.5,0,12.9,2,12.2,0,4.2,0,3.6,2.4,0,0,0.7,0.8,0,20.4,8.1,7.9,0.8,0,0,43,8.8,7.7,0,16.4,1.6,24.2,0,5.3,0,1.2,2,0,0,0,0,0,7.9,5.8,13.4,2.8,2.2,0.7,41,8.2,11.8,0,12.6,7.9,21,0,3.7,0,2.5,5.9,1.2,0,0,2.2,0,7.6,5,6.5,1.1,2.8,0,78,10.7,16.8,0,15.4,4.3,22.4,0,6.2,0,2.3,5.2,0.9,0,0.5,0.5,0,4.8,0,1,4.7,1.3,0.6,2.3,19.1,7.2,26.7,8.2,1.5,8.5,9.2,0.9,2.1,0.9,3.6,0.8,1.6,1,0.6,1.2,6.9,100
"거주국",미국,113,5.7,11.6,0,25.4,5.3,17,0,4.4,0,2.7,6,0,0,0,3,0,7.3,2.5,8.4,0.7,0,0,203,7.5,6.1,0,20.8,3.5,24,0,3.9,0,3.7,4.5,0.3,0,1.4,0.6,0,7.7,5,8.6,0.7,1.3,0.4,179,8.6,10.4,0,17.7,5,26.6,0,5.1,0,2.4,2.2,0.8,0,0.6,0.4,0,7.5,2.5,7,1,0.7,1.5,306,10.9,10.1,0,13,3.8,24.7,0,4.1,0,1.8,6.2,0.3,0,0.6,1.3,0,5.2,0.3,0.5,14.1,0.6,1.9,0.5,11.9,3.7,50.4,5.2,1.7,9.4,7,0.6,0.9,0.5,1,0.2,1,0.4,0.5,0.7,4.9,100
"거주국",캐나다,31,4.5,16,0,14.8,1.3,19.8,0,4.4,0,1,2.1,0,0,0,1.7,0,20.1,1.7,7.7,1.3,2.4,1.1,52,2.6,13.9,0,20.8,3,27,0,1.3,0,0.9,3.5,0.7,0,0,1,0,8.3,4,9,0,3.2,0.7,51,10.1,12.4,0,11.3,2,23.5,0,4.5,0,1.7,2.2,0.6,0,1,1.3,0,17.2,3,7,0.6,0.6,1.1,76,9.4,10.8,0,13.2,6.6,25,0,4.4,0,1.2,0.5,0.9,0,0,2.3,0,7.2,1.8,1.1,9.6,1.7,2,2.1,14.1,5.8,31.2,9.5,3.1,8.5,9.4,0.3,1.6,1.8,1.6,0.4,1,0.4,0.8,0.2,10.2,100
"거주국",영국,15,8.3,14.7,0,20.7,5.8,12.8,0,7.6,0,9.9,1.5,0,0,0,0,0,4.9,1.3,7.3,1.9,3.1,0,25,5,10,0,20.1,6.4,24.6,0,4.3,0,1.7,4.9,0,0,0.9,1,0,5,4,10.8,1.2,0,0,21,16.6,10,0,13.8,1.4,31.2,0,4.2,0,2.9,4.2,0,0,0,1.2,0,3,5.1,3.9,0,1.1,1.4,38,9.4,11.5,0,20.8,0.8,21.8,0,8.1,0,3.6,1.6,0,0,2.6,1.5,0,6.5,0,2.9,6.6,0,2.3,0,13.6,3.1,39.3,7.6,2.7,12.6,8.6,0.8,0,0.7,1.6,0.7,3,0,0,1.5,4.3,100
"거주국",독일,12,6.7,9.5,0,28.2,4.3,23.4,0,1.8,0,1.9,2,0,0,2.3,0,0,8.1,6.3,5.3,0,0,0,14,7.5,10.1,0,30.8,2,33.4,0,3.5,0,0,3.9,0,0,0,0,0,3.5,0,5.4,0,0,0,14,12,6.3,0,20.2,3.8,46.7,0,1.7,0,0,1.6,0,0,0,0,0,0,5,2.6,0,0,0,21,12.3,6.1,0,17.4,3.1,36.7,0,5.9,0,1.6,2.9,0,0,0,1.8,0,2.6,1.1,0,8.5,0,0,0,10.5,2,39.1,6.1,3.3,18.3,2.8,1.1,0.4,0.7,2.2,0,7.5,0,0.6,0,5.3,100
"거주국",프랑스,12,1.6,18.7,0,21.8,0,26.1,0,7.8,0,1.7,2.1,0,0,1.7,0,0,2.5,10.5,5.4,0,0,0,21,8.4,0,0,26,1.3,43.6,0,9.9,0,2.6,1.3,0,0,0,0,0,2.6,0,1.1,0,3.1,0,10,0,4.5,0,20.1,5.8,56.9,0,2.5,0,2,0,0,0,0,0,0,4.2,0,4,0,0,0,31,4.9,4,0,23.2,1.7,32.5,0,13.7,0,3.9,1,0,0,0.9,1.1,0,1.4,0.6,0,5.9,0,4,1.1,13.7,2.5,38.2,9,0.7,12.2,6.9,4.6,0.5,0.7,1.1,0,4.5,0,0.4,2,3,100
"거주국",러시아,98,1.6,9.4,0,15.1,1.2,7.9,0,0.8,0,4.2,0.7,0,0,3.5,0.4,0,2.4,1.5,9.1,6.7,4.3,31,90,1.8,8.3,0,14.6,0.7,13.8,0,2.3,0,3.8,1.8,0.4,0,1,0,0,1.9,2.2,8.1,4.9,5.7,28.8,87,2.2,15.2,0,21.4,1.1,14.5,0,2.2,0,6.1,1.8,0,0,2.1,0.7,0,2.5,3.5,4.7,8.8,5,8.3,141,3.7,11.4,0,18.2,1,20.8,0,3,0,5.8,2.5,0.4,0,1.5,0,0,1.9,0.6,4.5,5.2,7,3.1,9.5,12.3,15.2,21.2,13.3,2.6,12.2,1.5,1.7,1.8,2.3,0.9,4.8,1.2,0.4,1.3,1.9,5.4,100
"거주국",중동,20,1.5,15.7,0,19.8,2.3,5.6,0,4.1,0,2.7,0,0,0,0,1.7,0,0,0,8.6,3.2,3.2,31.6,41,2.9,15.3,0,14.2,1.2,7.8,0,3.1,0,1.8,1.1,0,0,0,0,0,0,4.9,9.2,2.4,3,33,43,1.9,24.2,0,19.9,3.3,8.1,0,2.8,0,2.2,0.7,0,0,0,0,0,0.9,0,4,0.8,2.2,29,89,4.2,12.3,0,18,3.1,12.9,0,2.2,0,0.6,0.7,1,0,0,0,0,1.6,0,0,3.6,3.1,1.7,34.8,7.6,11.7,25,11.2,3.3,8,3.7,1.5,0,1.4,1.1,10.7,1.3,0,2,1.2,10.4,100
"거주국",인도,3,13.9,22.2,0,20.3,0,22.6,0,0,0,0,0,0,0,0,0,0,14.2,6.7,0,0,0,0,4,0,8.6,0,34.7,5.5,23,0,0,0,0,0,0,0,4.5,0,0,7.5,0,11.7,4.5,0,0,3,0,17.1,0,33.3,0,22.1,0,0,0,0,0,5.6,0,0,0,0,10.5,11.4,0,0,0,0,6,8.9,0,0,48,0,9.2,0,0,0,9.9,9.4,0,0,0,0,0,0,0,0,9.1,0,5.4,0,11.7,9.1,31.2,8.4,5,11.6,10.8,0,0,2.1,0,0,0,0,1.6,0,8.6,100
"거주국",필리핀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,4.2,9.7,0,24.4,5.5,22.8,0,6.8,0,2.2,4.6,0.2,0,6.2,0.9,0,0.2,0,0.2,6.2,2,3.3,0.5,20,11.6,8.5,21.1,5.5,7.5,12.7,3.2,0.8,1.4,0.9,0.3,2.1,2.9,0.5,0.6,0.3,100
"거주국",인도네시아,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,3,14.6,0,31.8,8.5,13.4,0,7.5,0,3,2,0,0,5.6,1,0,0.4,0,0,4.4,3,1.8,0,26,20.9,5.6,17.5,5.2,5.9,8.1,2.2,0.5,0.4,1.8,0.8,2.1,1.4,0.5,0.7,0.5,100
"거주국",베트남,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,4.2,12.2,0,53.5,2.2,7.6,0,6.9,0,1.6,0.8,0.4,0,3.5,0.3,0,0,0,0.3,2.8,0.5,3,0,28.8,19.3,7.5,17.5,2.4,7.2,2.3,3.1,0.9,2.2,1.2,0.7,3.3,1.1,1.5,0.2,0.8,100
"거주국",몽골,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9,22.2,23.8,11.2,1.3,4,4.9,1.8,0.8,2.6,1.4,2.6,1.6,0,0.8,0,3.1,100
"거주국",기타,210,1.6,12.4,0,19.1,5.7,25.7,0,2.8,0,2.8,0.7,0,0,3.6,0,0,9.2,2.2,10.2,0.8,3.3,0,431,3.9,14,0,30.5,5.2,16.9,0,4.3,0,2.4,1.9,0.1,0,5,0.8,0,2.5,1.4,6.9,2.5,0.9,0.7,416,8.2,12.2,0,17.3,5.3,28.7,0,3.5,0,2.6,2.3,0,0,4.3,0.6,0,3.8,2.5,6.3,0.8,1.1,0.5,265,4.4,7.7,0,15.1,5,36.9,0,4.4,0,3.6,0.9,0,0,2.3,0.8,0,4.9,0,2.3,9.8,0,0.9,1,15.2,10.4,24,11,5.1,13.7,11,0,0.5,0.9,0.3,1.4,1.1,0.5,0.6,0.5,3.9,100
"성별",남자,2963,5.3,27.5,0,38.3,0.5,8.5,0,4.6,0,2.9,2.1,0,0,1.5,0.3,0,1.2,1.1,2.6,2.3,0.9,0.5,3139,5.5,24.4,0,31.2,1.1,11.7,0,5.5,0,3.7,2.1,0.1,0,2.2,0.4,0,1.3,2,4.1,2.8,1.1,0.8,3053,8.2,21.2,0,31.3,1.6,10.6,0,7,0,2.7,2.4,0.2,0,1.3,0.3,0,1.4,3.7,3.5,2.5,1.7,0.6,3215,11.1,20.6,0,24.1,2.1,10.9,0,6.3,0,3.7,3.3,0.1,0,2.4,0.8,0,2.1,0.2,3.3,4.7,1.6,1.6,1.2,29.1,18.9,17.7,11.3,1.8,5,3.8,1.6,1.9,1.7,1.3,0.7,0.9,0.7,0.7,0.7,2.3,100
"성별",여자,5454,5.7,37.3,0,25.6,4.7,5.9,0,6.8,0,1.3,2.2,0.9,0,1.1,0.4,0,0.9,1.4,2.5,1.8,0.7,0.9,5677,6.7,31.9,0,24.3,6,7.4,0,8.7,0,1.4,2.1,0.6,0,1.7,0.3,0,0.8,1.6,2.8,2.1,1,0.6,5774,6.7,33.5,0,22,5.4,7,0,8.7,0,1.3,2.2,0.3,0,1.6,0.4,0,1.6,2.4,2.1,3.1,1.2,0.4,5768,10.1,32.7,0,17.6,7.7,6.4,0,7.9,0,1.5,2.9,0.7,0,2,0.5,0,0.6,0.3,2.5,2.8,0.9,1.7,1.2,30.9,26.2,12.2,9,5.5,3.6,2.5,2,1.5,0.9,0.9,0.9,0.6,0.6,0.5,0.3,1.7,100
"연령",15~20세,530,7.5,37.3,0,19,10.4,4.4,0,8.7,0,2.5,1.4,0.3,0,1.2,0.2,0,0.6,1.4,1.9,1.1,1.8,0.3,464,8.4,29.9,0,20.8,7.1,6.2,0,9.1,0,3.8,2.5,0.2,0,2.2,0.1,0,0.7,1.4,3,4.3,0,0.4,537,9.9,25.2,0,18.2,10.2,7.1,0,12.5,0,1.5,1.4,0.1,0,0.3,0,0,1.2,1.2,4.9,4.4,1.7,0.2,619,7.7,30.4,0,15.2,12.2,6.3,0,11.5,0,2.9,2.2,0.7,0,2.4,0.6,0,1,0.5,1.2,3.1,0.7,0.5,1.2,30.5,22,11.8,5.7,10.3,3.3,5.1,2.1,1.2,3.8,0.8,0.5,0.5,0.3,0.5,0.2,1.5,100
"연령",21~30세,3479,4.8,36.4,0,30.2,2.8,5.3,0,8.3,0,1.3,2.2,0.4,0,0.6,0.2,0,0.9,1.3,2.1,2.3,0.3,0.5,3744,6.4,33.7,0,24,3.7,6.9,0,10.5,0,1.9,2.3,0.5,0,1.4,0.5,0,0.7,1.3,2.5,2.5,0.8,0.4,4164,6.7,32.4,0,25,3.3,6.8,0,9.1,0,1.5,2.3,0.4,0,1.2,0.3,0,1.4,2.8,2.2,3.3,1.1,0.3,4031,10.6,30.4,0,19.7,6,6.3,0,8.7,0,2.1,2.7,0.5,0,1.7,0.5,0,0.7,0.3,2.5,3.5,1.4,1.7,1,32.6,26.2,11.6,7.8,5.2,3.4,3.1,2,1.5,1.2,1.2,0.7,0.6,0.7,0.6,0.5,1.1,100
"연령",31~40세,2279,5.1,36.1,0,31.5,1.5,5.9,0,5.5,0,1.4,2.5,0.4,0,1.7,0.6,0,0.6,1.1,2.2,2.4,0.6,0.9,2409,5.8,29.5,0,28.1,3.4,8.4,0,7,0,1.9,2.1,0.4,0,2.2,0.1,0,1,2.5,3.2,2.4,1.3,0.7,2501,7,30.9,0,24,2.9,9.2,0,8.4,0,2.1,2,0.3,0,1.7,0.3,0,1.6,3.3,2,2.3,1.5,0.5,2237,10.3,30.8,0,19.9,3.8,8.9,0,6.2,0,2.1,2.8,0.5,0,2.6,0.9,0,1,0.1,3.8,3,1.2,1.4,0.8,30,28.5,10.8,10.5,2.7,4.2,2.4,2.4,1.4,0.6,1,1.1,0.8,0.4,0.6,0.5,2,100
"연령",41~50세,1118,7,25.9,0,31.2,4,8.6,0,2.8,0,2.8,2.7,1.4,0,2,0.5,0,1.2,1.8,3.2,1.7,1.6,1.5,1177,6.9,23.3,0,29.4,5.5,11.5,0,4,0,3.2,1.9,0.2,0,2.2,0.5,0,1.2,1.2,4.6,2.1,1.4,1,961,9.4,21.1,0,28.5,6.3,9.9,0,4.2,0,2.3,3.1,0.1,0,2.4,0.4,0,1.5,2.5,3,2.4,2,0.8,1178,11.3,23.9,0,20.6,6.1,9.7,0,5.1,0,2.6,4.2,0.3,0,2.7,0.6,0,2,0.1,2.4,3.6,1.2,2.2,1.3,31.3,20,14.2,12,3.7,3.6,3,1.1,1.5,1.3,1.3,1,0.9,0.9,1,0.6,2.7,100
"연령",51~60세,731,6.8,26.7,0,32.9,3.8,11.9,0,1.7,0,3,1.1,0.9,0,1.4,0.3,0,2.2,0.9,4.2,0.2,1.3,0.6,691,5.2,19.9,0,32.2,6.2,14.8,0,2,0,2,1.4,0.5,0,2.8,0.3,0,1.8,2.2,4.7,1.6,0.9,1.4,489,4.8,18.5,0,33.3,4.7,13.1,0,2.8,0,1.6,3.1,0.1,0,2.2,1.1,0,1.7,2.2,5.2,2,2.3,1,657,11.4,18.6,0,24.6,5.3,10.5,0,4.7,0,1.9,6.1,0.4,0,1.9,0.3,0,1.6,0.5,2.5,4.5,0.4,2.3,2.3,26.2,18.6,19.6,12.6,3,5.4,3.1,1.5,2.3,1,0.9,0.8,0.8,0.7,0.5,0.3,2.7,100
"연령",61세 이상,245,6.1,23.2,0,27,3.8,18.8,0,0,0,4.4,1.1,0.4,0,2.3,0.5,0,2.7,1.5,5.2,2.3,0,0.7,311,4.3,16.2,0,37,2.4,18.7,0,0.9,0,3.3,1.7,0.8,0,0.8,0.3,0,2,2.4,5.4,1.2,1.2,1.4,155,8.9,17.3,0,30,6.2,11.3,0,2.3,0,1.3,0.9,0.2,0,0.9,0.4,0,4.5,7.4,5.7,1.7,0.1,1,249,11.1,15.4,0,20.8,1.8,19.3,0,3.1,0,4.8,1.8,0.8,0,1.6,0.6,0,5.1,0.6,4.3,4.2,0.4,1.5,3,25.4,11.2,32.8,8.6,3.2,6.2,1.3,2,1.7,1.7,0.6,0.5,0.4,0.7,0.3,0.5,2.8,100
"연령",모름/무응답,36,2.9,54.4,0,16.6,0,5.1,0,9.6,0,0,0,0,0,0,0,0,0,0,0,5.7,5.6,0,21,20.1,18,0,7.5,13.9,12.8,0,2.7,0,14,2.7,0,0,0,0,0,0,0,0,0,5.7,2.5,20,9.9,34.9,0,11,18.4,0,0,3,0,5.1,11,0,0,3.5,0,0,0,0,0,3,0,0,11,13.4,13.7,0,25.9,0,5.3,0,8.2,0,0,0,0,0,0,0,0,0,0,0,27.9,0,0,5.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"방한목적",여가/위락/휴가,6982,5.7,27.4,0,34.6,3.7,7.7,0,6.2,0,2.2,2.3,0.2,0,1.5,0.3,0,1,1.3,2.9,2.2,0.8,0.1,7293,6.4,22.8,0,30.6,4.9,10.5,0,7,0,2.7,2.2,0.1,0,2.1,0.4,0,1,1.9,3.8,2.5,0.9,0.1,7180,8.2,19.7,0,29.6,4.8,9.8,0,8,0,2,2.5,0.2,0,1.7,0.4,0,1.6,3.4,3,3.4,1.6,0.1,7182,11.6,19.4,0,23.5,6.6,9.6,0,7.7,0,2.8,3.4,0.2,0,2.5,0.7,0,1.2,0.1,3.2,4.2,1.3,1.7,0.3,30.3,23.6,14.2,9.8,4.2,4.1,3,1.9,1.6,1.2,1.1,0.8,0.7,0.6,0.6,0.4,1.9,100
"방한목적",사업/전문 활동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"방한목적",교육,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"방한목적",종교 순례,111,3.6,26.3,0,22,2.2,15.8,0,4.7,0,2.6,3.8,0,0,1.1,0.7,0,10.8,2,3.9,0,0.4,0,89,0,14.8,0,20.1,0,10.8,0,10,0,0.7,4.4,0,0,3.5,0.3,0,11.1,7,2.5,10.5,2.1,2.3,51,2.7,13.8,0,21.2,0,12,0,4.7,0,0,0.9,0,0,0,0,0,33.7,4.8,3.8,1.8,0.7,0,64,13.3,2.3,0,13.7,0,29.6,0,4.3,0,0,3.2,0,0,2.4,0.9,0,20.1,5.1,0,0.8,0,4.2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"방한목적",기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"방한목적",뷰티/건강/치료,122,0.3,13.4,0,2.4,0,1.6,0,7.6,0,0.3,1.6,23.4,0,0.4,1.9,0,0.2,0.9,0.9,0.4,0.4,44.5,140,3.1,18.4,0,8.6,0,1.1,0,8.5,0,1.1,0,16.2,0,0.2,0,0,0,0,1.6,1.1,2.3,37.8,75,2.9,13.7,0,15,0,1.3,0,4.2,0,2.4,4,9.3,0,0,1.7,0,1.2,0,0,0.4,1.3,42.6,171,5.3,14,0,5.5,0.2,1.1,0,2.5,0,0,1.7,15.7,0,0.5,0,0,0,1.2,2.6,0.9,0,0.6,48.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"방한목적",쇼핑,1201,5.5,74.4,0,7.1,1.1,1.4,0,5.1,0,0.1,1.2,0.3,0,0.1,0.1,0,0,1.1,0.5,1.3,0.4,0.2,1294,6.5,67.4,0,7.2,1.3,1.1,0,10.3,0,0.1,1.8,0.4,0,0.5,0.1,0,0,0.6,0.4,1,1.2,0,1521,3.2,75.7,0,5,0.7,0.9,0,8.7,0,0.6,1.3,0.2,0,0.6,0.1,0,0.1,0.5,0.7,0.9,0.7,0.1,1566,5.7,72.1,0,5.3,2.5,0.9,0,6.4,0,0.4,1.8,0.2,0,0.6,0.2,0,0.1,0.5,1,0.4,0.5,1.3,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"방한목적",친구/친지방문,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"여행형태",개별여행,4850,6.4,35.1,0,25.6,4.2,6.3,0,6,0,2.3,1.9,0.8,0,1.3,0.4,0,1.5,1.4,2.9,1.6,0.9,1.3,4834,7.2,29.6,0,21.2,5.6,9.2,0,8.1,0,2.3,2,0.6,0,1.8,0.6,0,1.3,2.1,3.7,2.1,1.4,1.2,5104,8.6,29.3,0,23.4,5,8.6,0,7.3,0,1.5,2,0.4,0,1.7,0.5,0,1.7,2.8,2.7,2.2,1.6,0.7,6813,10.2,28.6,0,19,6.4,8.1,0,7.2,0,2.3,2.7,0.5,0,1.8,0.6,0,1.2,0.3,3,3.8,1.2,1.7,1.5,28.9,23.8,18,8.7,3.8,3.7,2.9,1.7,1.6,1.2,0.7,1,0.6,0.5,0.5,0.5,1.7,100
"여행형태",단체여행,2874,3.4,29.5,0,41.8,0.9,5.7,0,6.3,0,1.2,2.8,0.1,0,1.3,0.1,0,0.3,1,2.1,3,0.5,0,3270,3.9,26.6,0,39,1.4,6.4,0,7.7,0,2.1,2.5,0,0,2.2,0.1,0,0.5,1.2,3,2.9,0.5,0.1,2870,4.1,27.4,0,31.9,1.2,7,0,9.9,0,2.1,2.3,0.1,0,1.4,0,0,1.1,2.6,2.7,4.7,1.4,0,1470,7.6,22.1,0,31.6,1.5,7.6,0,8.4,0,2,4.9,0.3,0,4.7,0.4,0,1,0,1.7,2.9,1.3,2,0,27,21.3,1.4,19.6,2.2,6.9,4.2,2.9,2,1.3,2.9,0.3,1.5,1.4,1.2,0.4,3.7,100
"여행형태",Air-tel Tour,692,8.6,42.8,0,12.9,6.2,15.3,0,4.9,0,0.9,1.6,0.9,0,0.4,0.5,0,0.8,1.5,1.6,0.7,0.6,0.1,713,10.6,38.3,0,7.9,8.1,19.2,0,3.5,0,3.1,1.1,1.4,0,0.4,0,0,0.9,1.4,1.1,2.4,0.4,0.2,852,9.8,35.6,0,13.6,8.2,9.8,0,6.9,0,1.9,3.6,0.3,0,0.5,0.3,0,2.1,4,2,0.9,0.3,0.2,700,19.5,38.4,0,4.6,7.6,8.6,0,6.2,0,2.2,3,1.3,0,0.4,0.8,0,0.5,0.6,2.7,1.6,0.9,0.6,0.4,46.6,25,2.9,4.2,10.4,2.9,1.4,1.6,1.7,0.8,0.9,0.3,0.1,0.3,0.3,0,0.8,100
